id,original_title,genres1
135397,Jurassic World,Action
76341,Mad Max: Fury Road,Action
262500,Insurgent,Adventure
140607,Star Wars: The Force Awakens,Action
168259,Furious 7,Action
281957,The Revenant,Western
87101,Terminator Genisys,Science Fiction
286217,The Martian,Drama
211672,Minions,Family
150540,Inside Out,Comedy
206647,Spectre,Action
76757,Jupiter Ascending,Science Fiction
264660,Ex Machina,Drama
257344,Pixels,Action
99861,Avengers: Age of Ultron,Action
273248,The Hateful Eight,Crime
260346,Taken 3,Crime
102899,Ant-Man,Science Fiction
150689,Cinderella,Romance
131634,The Hunger Games: Mockingjay - Part 2,War
158852,Tomorrowland,Action
307081,Southpaw,Action
254128,San Andreas,Action
216015,Fifty Shades of Grey,Drama
318846,The Big Short,Comedy
177677,Mission: Impossible - Rogue Nation,Action
214756,Ted 2,Comedy
207703,Kingsman: The Secret Service,Crime
314365,Spotlight,Drama
294254,Maze Runner: The Scorch Trials,Action
198184,Chappie,Crime
254470,Pitch Perfect 2,Comedy
296098,Bridge of Spies,Thriller
257445,Goosebumps,Adventure
264644,Room,Drama
105864,The Good Dinosaur,Adventure
241554,Run All Night,Action
167073,Brooklyn,Drama
277216,Straight Outta Compton,Drama
274854,The Last Witch Hunter,Fantasy
321697,Steve Jobs,History
203801,The Man from U.N.C.L.E.,Comedy
293863,The Age of Adaline,Fantasy
325348,Hardcore Henry,Action
228161,Home,Fantasy
286565,Paper Towns,Drama
254320,The Lobster,Thriller
258480,Carol,Romance
257211,The Intern,Comedy
253412,Everest,Adventure
274479,Joy,Comedy
257088,Point Break,Action
295964,Burnt,Drama
238615,Self/less,Science Fiction
210860,Mortdecai,Comedy
306819,The Danish Girl,Drama
201088,Blackhat,Mystery
273481,Sicario,Action
166424,Fantastic Four,Action
310131,The Witch,Mystery
238713,Spy,Action
256591,Focus,Romance
249070,Hitman: Agent 47,Action
205775,In the Heart of the Sea,Thriller
312221,Creed,Drama
271718,Trainwreck,Comedy
333352,Eye in the Sky,Drama
276907,Legend,Crime
266647,Pan,Adventure
227973,The Peanuts Movie,Adventure
321741,Concussion,Drama
296100,The Night Before,Comedy
263472,Knock Knock,Drama
228205,The Longest Ride,Romance
159824,Hotel Transylvania 2,Animation
333348,Love the Coopers,Family
285783,The Walk,Adventure
290764,Tracers,Action
296099,Vacation,Adventure
243688,Poltergeist,Horror
287424,Maggie,Horror
181283,Child 44,Crime
328425,The Gift,Thriller
274167,"Daddy's Home",Comedy
309809,The Little Prince,Adventure
298382,The Dressmaker,Drama
272693,The DUFF,Romance
283445,Sinister 2,Horror
256961,Paul Blart: Mall Cop 2,Action
241251,The Boy Next Door,Thriller
188222,Entourage,Comedy
252838,The Wedding Ringer,Comedy
273477,Scouts Guide to the Zombie Apocalypse,Comedy
298312,The Visit,Horror
261023,Black Mass,Crime
336004,Heist,Crime
287903,Krampus,Horror
182560,Dark Places,Drama
192141,No Escape,Action
308639,Dope,Crime
261392,American Ultra,Comedy
304357,Woman in Gold,Drama
266294,Sisters,Comedy
227719,Project Almanac,Science Fiction
287948,The Transporter Refueled,Thriller
201085,Crimson Peak,Mystery
264999,Magic Mike XXL,Comedy
146301,Paranormal Activity: The Ghost Dimension,Horror
294016,Trumbo,Drama
290751,Secret in Their Eyes,Crime
228165,The SpongeBob Movie: Sponge Out of Water,Family
272878,Max,Adventure
266396,The Gunman,Action
277685,Unfriended,Horror
268920,Hot Pursuit,Action
280092,Insidious: Chapter 3,Drama
328589,The Lady in the Van,Comedy
228066,Victor Frankenstein,Drama
291270,Anomalisa,Animation
250124,The Diary of a Teenage Girl,Drama
282984,Irrational Man,Mystery
275601,Ricki and the Flash,Comedy
304372,The Perfect Guy,Drama
252512,"While We're Young",Drama
257091,Get Hard,Comedy
293646,The 33,History
245168,Suffragette,Drama
301351,We Are Your Friends,Drama
268238,The Second Best Exotic Marigold Hotel,Drama
256962,Little Boy,Comedy
222936,Aloha,Adventure
10317,Our Brand Is Crisis,Drama
306745,Freeheld,Romance
292431,Love,Drama
300693,Truth,Drama
256924,Danny Collins,Comedy
253414,Rock the Kasbah,Comedy
320588,"Hello, My Name Is Doris",Comedy
157544,The Vatican Tapes,Thriller
283235,99 Homes,Drama
243938,Hot Tub Time Machine 2,Comedy
254905,Manglehorn,Drama
232572,A Walk in the Woods,Drama
243940,The Lazarus Effect,Thriller
239573,Unfinished Business,Comedy
167810,Lost River,Fantasy
299245,The Gallows,Horror
314385,By the Sea,Drama
253331,Black or White,Drama
297806,I Saw the Light,Drama
266639,Jem and the Holograms,Drama
283587,Beasts of No Nation,Drama
234212,Demonic,Thriller
308638,The D Train,Drama
245846,Strangerland,Drama
331190,Captive,Crime
343795,90 Minutes in Heaven,Drama
309304,Grandma,Drama
323272,War Room,Drama
273899,Stonewall,Drama
157336,Interstellar,Adventure
118340,Guardians of the Galaxy,Action
100402,Captain America: The Winter Soldier,Action
245891,John Wick,Action
131631,The Hunger Games: Mockingjay - Part 1,Science Fiction
122917,The Hobbit: The Battle of the Five Armies,Adventure
177572,Big Hero 6,Adventure
205596,The Imitation Game,History
198663,The Maze Runner,Action
194662,Birdman,Drama
210577,Gone Girl,Mystery
228150,Fury,War
181533,Night at the Museum: Secret of the Tomb,Adventure
157350,Divergent,Action
127585,X-Men: Days of Future Past,Action
240832,Lucy,Action
98566,Teenage Mutant Ninja Turtles,Science Fiction
225886,Sex Tape,Comedy
242582,Nightcrawler,Crime
91314,Transformers: Age of Extinction,Science Fiction
120467,The Grand Budapest Hotel,Comedy
244786,Whiplash,Drama
119450,Dawn of the Planet of the Apes,Science Fiction
156022,The Equalizer,Thriller
227159,Horrible Bosses 2,Comedy
102382,The Amazing Spider-Man 2,Action
137113,Edge of Tomorrow,Action
228967,The Interview,Action
190859,American Sniper,War
147441,Exodus: Gods and Kings,Adventure
124905,Godzilla,Action
102651,Maleficent,Fantasy
254904,The November Man,Crime
242512,Ouija,Horror
82702,How to Train Your Dragon 2,Fantasy
270303,It Follows,Thriller
138103,The Expendables 3,Action
137106,The Lego Movie,Adventure
68737,Seventh Son,Adventure
266856,The Theory of Everything,Drama
193893,"Let's Be Cops",Comedy
49017,Dracula Untold,Horror
270946,Penguins of Madagascar,Family
224141,Into the Woods,Fantasy
53182,300: Rise of an Empire,Action
227156,The Giver,Drama
187017,22 Jump Street,Crime
169917,A Walk Among the Tombstones,Crime
116149,Paddington,Comedy
284276,Cake,Drama
212778,Chef,Comedy
238636,The Purge: Anarchy,Horror
218043,Left Behind,Thriller
85350,Boyhood,Drama
241239,A Most Violent Year,Action
184315,Hercules,Action
86834,Noah,Drama
205587,The Judge,Drama
232672,Blended,Comedy
195589,Neighbors,Comedy
249164,If I Stay,Drama
243683,Step Up All In,Romance
222935,The Fault in Our Stars,Romance
168530,Ride Along,Action
171274,Inherent Vice,Comedy
137094,Jack Ryan: Shadow Recruit,Action
225574,Non-Stop,Action
206487,Predestination,Science Fiction
154400,The Drop,Drama
97020,RoboCop,Science Fiction
157353,Transcendence,Thriller
