id,vote_average,release_year,Profit Adj,Action,Family,Adventure,Foreign,Fantasy,Documentry,Music,Drama,Crime,Comedy,History,TV_Movie,Western,Mystery,Horror,Science_Fiction,Animation,Romance,War,Thriller
100,7.3,1998,3407871.50846434,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10003,6,1997,68009012.02577,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
100042,5.5,2014,119591707.969925,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10009,6.8,2003,-118534968.140092,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10012,5,2005,-17535737.0037895,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10013,5.7,1986,46517973.7895705,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
10014,5.7,1985,54731888.0315103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10015,6.5,1986,55154337.1546515,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
10016,4.6,2001,-17227494.1544338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
10017,5.9,1986,1591525.12868973,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
10019,5.6,1987,70470928.905938,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10020,7.3,1991,564145948.258443,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
10021,5.7,1987,189982973.918354,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10022,5.8,2005,63651789.465739,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
10023,5.8,1987,89570231.5312976,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10024,7,2009,66792627.478467,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100241,5.1,2014,5668939.61234962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10025,5.7,2006,10989655.8896723,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
10027,6.5,2005,6555469.24521326,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10028,6,2003,52922158.6030287,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10029,6.2,1998,-26889803.1888787,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
10030,5.5,2007,35958786.7909164,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
100402,7.6,2014,501779614.228646,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10045,6.5,2004,-2788988.85359878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10047,6.1,1999,9132367.62759435,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
10048,5,2005,-64835544.184475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10052,6.2,2002,-9307258.07566112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10053,5.4,2006,56211087.0872391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10054,5.5,2001,139077100.638564,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10057,5.9,1993,36074588.6467934,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10060,6.5,2005,7193490.25737119,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10061,5.4,1996,-10736136.4458803,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10065,6,2005,99426757.5236547,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
10066,5.3,2005,32119194.6943592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10067,4.6,2006,12020498.495885,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10068,5.9,1986,-20419422.5747892,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10069,5.3,2006,19583722.869439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10072,6.2,1987,76366393.907764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10073,3.9,2006,30879951.9219693,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10077,4.8,2005,-82637251.0301134,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10083,7,1987,39359409.0306936,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
10090,5.8,2007,10876525.8002173,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10092,5.4,2005,10102300.6451614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10093,5.2,2006,-3253645.68477283,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10096,6.1,2004,68638355.894275,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10112,7,1970,290227277.577773,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10117,5.4,1988,24444417.1958327,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
101173,5.7,2011,-6424586.64867464,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10126,6.4,1988,74891601.3345346,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
101267,6.5,2012,19685307.9308396,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
