id,Based on Novel
135397,0
76341,0
262500,1
140607,0
168259,0
281957,1
87101,0
286217,1
211672,0
150540,0
206647,1
76757,0
264660,0
257344,0
99861,0
273248,0
260346,0
102899,0
150689,0
131634,0
158852,0
307081,0
254128,0
216015,1
318846,0
177677,0
214756,0
207703,0
314365,0
294254,1
198184,0
254470,0
296098,0
257445,1
264644,1
105864,0
241554,0
167073,1
277216,0
274854,0
321697,0
203801,0
293863,0
325348,0
228161,0
286565,0
254320,0
258480,0
257211,0
253412,0
274479,0
257088,0
295964,0
238615,0
210860,1
306819,0
201088,0
273481,0
166424,0
310131,0
238713,0
256591,0
249070,0
205775,0
312221,0
271718,0
333352,0
276907,0
266647,0
227973,0
321741,0
296100,0
263472,0
228205,1
159824,0
333348,0
285783,0
290764,0
296099,0
243688,0
287424,0
181283,0
328425,0
274167,0
309809,0
298382,1
272693,0
283445,0
256961,0
241251,0
188222,0
252838,0
273477,0
298312,0
261023,0
336004,0
287903,0
182560,1
192141,0
308639,0
261392,0
304357,0
266294,0
227719,0
287948,0
201085,0
264999,0
146301,0
294016,0
290751,0
228165,0
272878,0
266396,0
277685,0
268920,0
280092,0
328589,1
228066,0
291270,0
250124,0
282984,0
275601,0
304372,0
252512,0
257091,0
293646,0
245168,0
301351,0
268238,0
256962,0
222936,0
10317,0
306745,0
292431,0
300693,0
256924,0
253414,0
320588,0
157544,0
283235,0
243938,0
254905,0
232572,0
243940,0
239573,0
167810,0
299245,0
314385,0
253331,0
297806,0
266639,0
283587,1
234212,0
308638,0
245846,0
331190,0
343795,0
309304,0
323272,0
273899,0
157336,0
118340,0
100402,0
245891,0
131631,0
122917,0
177572,0
205596,0
198663,1
194662,0
210577,1
228150,0
181533,0
157350,1
127585,0
240832,0
98566,0
225886,0
242582,0
91314,0
120467,0
244786,0
119450,0
156022,0
227159,0
102382,0
137113,0
228967,0
190859,0
147441,0
124905,0
102651,0
254904,0
242512,0
82702,0
270303,0
138103,0
137106,0
68737,0
266856,0
193893,0
49017,0
270946,0
224141,0
53182,0
227156,0
187017,0
169917,1
116149,1
284276,0
212778,0
238636,0
218043,0
85350,0
241239,0
184315,0
86834,0
205587,0
232672,0
195589,0
249164,0
243683,0
222935,1
168530,0
171274,1
137094,0
225574,0
206487,0
154400,0
97020,0
157353,0
193610,0
82703,0
189,0
172385,0
100042,0
152760,0
227306,0
273895,0
265177,0
228970,0
76649,0
239571,0
196867,0
228326,0
239563,0
136797,0
228194,0
170687,1
87093,0
241254,0
242095,0
216282,0
218836,0
144336,0
136835,0
284293,0
256274,0
87492,0
226857,0
157845,0
184098,0
271674,1
187596,0
250546,0
100241,0
225565,0
200505,0
254473,0
242224,0
226486,0
137321,1
241848,0
256917,0
171424,0
218778,1
239678,1
264656,1
230179,0
209451,0
222899,0
198185,0
231576,0
244539,0
97370,0
177494,0
235260,0
242042,0
217993,0
157834,0
232679,0
177047,0
193612,0
157849,0
282813,0
246860,0
245916,0
254191,0
210479,0
227735,0
288158,1
145220,0
246403,0
286521,0
236751,1
188207,0
253235,0
244566,0
230266,0
244783,0
252171,0
210947,0
241771,0
252680,0
238603,0
284536,0
209185,0
157847,0
270654,0
157099,0
249660,0
79316,0
282296,0
251321,0
262340,0
11,0
691,0
11319,0
703,0
840,0
5902,0
11940,0
11009,0
12535,0
17689,0
11586,0
7227,0
985,0
12707,0
38985,0
72277,0
30315,0
16220,0
12262,0
19995,0
16869,0
12437,0
767,0
14160,0
13475,0
534,0
17654,0
10528,0
19913,0
8355,0
18785,0
13183,0
14161,0
12244,0
13448,0
10198,1
22881,0
19908,0
18239,0
10184,0
14869,0
18240,0
20943,0
22794,0
10315,0
14836,0
18360,0
16996,0
17979,0
7980,0
14560,0
28178,0
22803,0
22825,0
15092,0
19898,0
16871,0
13811,0
17431,0
19585,0
18487,0
