id,Paramount Pictures,Universal Pictures
10003,1,
100042,,1
10021,,1
10023,,1
10028,,1
10052,,1
10060,1,
10061,1,
10092,,1
101267,1,
10136,1,
10159,,1
10196,1,
10199,,
10215,1,
10225,1,
10281,1,
10283,1,
10312,,1
10329,1,
10345,,1
10371,,1
10375,,1
10397,1,1
10398,1,
10400,,1
10423,,1
10424,1,
10438,,1
10466,,1
10479,1,
10483,,1
105,,1
10518,1,
10576,,1
10590,1,
10601,,1
10625,1,
10658,,1
106646,1,
10671,,1
10676,,1
10723,,1
10730,1,
10734,1,
10762,1,
10779,,1
10805,1,
10871,1,
10906,1,
1091,,1
109443,1,
10998,1,
11009,1,
11015,1,1
11022,1,
11034,1,
11051,,1
11064,,1
11066,1,
111,,1
11123,,1
11186,,1
11187,,1
11221,1,
11228,,1
1125,1,
11252,,1
11253,,1
11258,1,
11259,,1
11281,,1
11283,,1
11322,,1
11324,1,
11336,1,
11338,,1
11352,,1
11371,1,
11456,1,
11478,,1
11503,,1
11519,,1
11551,,1
11568,,1
11595,1,
11615,,1
11631,,1
11667,,1
11683,,1
11697,1,
117,1,
11774,1,
11775,,1
11778,,1
11804,,1
11823,,1
11836,1,
11861,,1
11863,1,
11870,,1
11884,,1
11975,1,
12094,1,
12107,,1
1213,1,
12144,,1
12150,,
12158,1,
12177,1,
12220,,1
12277,,1
1247,,1
12771,1,
13,1,
13183,1,
132232,,1
13341,1,
13342,,1
134,,1
134374,1,
13475,1,
13490,,1
13499,1,
13572,1,
137094,1,
13804,,1
1389,,1
13937,,1
13939,1,
14001,,1
14397,,1
14462,1,
14628,,1
146301,1,
14746,,1
14869,1,
1492,1,
1496,,1
150,1,
15028,1,
15144,,1
15158,,1
15196,1,
152,1,
152532,,1
15256,1,
1535,,1
1537,1,
15373,,1
1538,1,
15393,,1
154,1,
15613,1,
15668,,1
15673,,1
157,1,
157336,1,
158015,,1
1581,,1
1584,1,
1587,1,
1592,1,
1597,,1
1598,,1
15992,1,
16136,1,
16162,,1
1621,1,
1624,,1
16320,,1
1633,,1
165,,1
16558,,1
1669,1,
1677,,1
168,1,
168259,,1
168530,,1
16869,,1
16871,,1
16995,,1
1713,,1
17130,1,
172,1,
1722,,1
1724,,1
1734,,1
1735,,1
17379,1,
1738,1,
174,1,
17578,1,
17692,,1
17711,,1
177677,1,
1788,1,
179,,1
18162,,1
1819,,1
183,,1
1831,1,
184315,1,
1852,1,
1858,1,
1878,,1
18947,,1
18973,1,
1903,1,
19158,1,
1927,,1
193,1,
1934,,1
193756,,1
19382,,1
1949,1,
195589,,1
196,,1
19899,,1
199,1,
1995,1,
1996,1,
200,1,
201,1,
201088,,1
2019,,1
20352,,1
2043,1,
20649,,1
20662,,1
20701,1,
208134,1,
20829,,1
20857,1,
2086,1,
2105,,1
2108,,1
2112,1,
211672,,1
2119,1,
21219,,1
214756,,1
21610,,1
2163,1,
217,1,
22267,,1
22309,1,
22538,,1
226857,,1
2270,1,
2275,1,
227719,1,
228165,1,
22824,,1
22897,,1
22947,1,
22972,,1
2310,1,
232,,1
23479,1,
238,1,
238636,,1
23954,1,
240,1,
240832,,1
241251,,1
242,1,
242512,,1
243938,1,
24418,,1
245,,1
24961,,1
25,,1
2501,,1
2502,,1
2503,,1
251,1,
25195,,1
253412,,1
254,,1
254470,,1
25643,,1
2604,,1
2616,,1
2617,,1
26198,1,
264660,,
2662,,1
266639,,1
2668,1,
2698,,1
271718,,1
273477,1,
274167,1,
2768,1,
2770,,1
277216,,1
2788,,1
2789,,1
27932,,1
28313,1,
284536,1,
287903,,1
2907,1,
2924,,1
2925,1,
297,,1
